,male
1445,Rayn
1446,Muqtadir
1447,Pushp
1448,Masroor
1449,Ilesh
1450,Manov
1451,Prabhas
1452,Doyel
1453,RajaPandian
1454,Devang
1455,Amol
1456,Mahaj
1457,Debjit
1458,Kanav
1459,Pijush
1460,Tarif
1461,Velan
1462,Shibaji
1463,Mohitosh
1464,Ranjit
1465,Soudip
1466,Neelesh
1467,Nirat
1468,Mohadev
1469,Aiyaan
1470,Aharshi
1471,Rudaransh
1472,Sanka
1473,Rithik
1474,Rheedhum
1475,Indukant
1476,Rupal
1477,Debadatta
1478,Tanim
1479,Rokibul
1480,Koustab
1481,Chandraditya
1482,Ekambar
1483,Paratpara
1484,Tamal
1485,Vijan
1486,Kulik
1487,Asok
1488,Tanoy
1489,Joyprakash
1490,Ramesh
1491,Antesh
1492,Sanjeb
1493,Santano
1494,Ujaan
1495,Tarachandra
1496,Nutan
1497,Aneek
1498,Vilas
1499,Deewan
1500,Kunal
1501,Reyansh
1502,Harmendra
1503,Sadid
1504,Jothirmoy
1505,Bankim
1506,Soumil
1507,Rangan
1508,Tiger
1509,Ritam
1510,Dasarathi
1511,Bishakh
1512,Jeeval
1513,Zitu
1514,Suta
1515,Sarjul
1516,Ushan
1517,Priyank
1518,Ghanashyam
1519,Manhar
1520,Rajender
1521,Nridev
1522,Shelly
1523,Shan
1524,Subhan
1525,Yaduraj
1526,Sajal
1527,Abhilash
1528,Kanan
1529,Aavan
1530,Bhagyajit
1531,Keilash
1532,Krishnadhan
1533,Dhanesh
1534,Soumak
1535,Safi
1536,Megha
1537,Guru
1538,Dipedra
1539,Debaneel
1540,Kshitidhar
1541,Trijosh
1542,Debobrato
1543,Visvesh
1544,Adif
1545,Patag
1546,Rankit
1547,Jogesh
1548,Pramod
1549,Abhitaj
1550,Madhvendra
1551,Kandan
1552,Seya
1553,Abhiroop
1554,Birendra
1555,Zabed
1556,Biswo
1557,Dinabandhu
1558,Mounik
1559,Rajdeep
1560,Mitin
1561,Champavati
1562,Lalchand
1563,Debargho
1564,Anand
1565,Rajeen
1566,Hitendra
1567,Vishwajeet
1568,Vishwajit
1569,Dhanraj
1570,Barin
1571,Noton
1572,Prosanjeet
1573,Devanesan
1574,Praloy
1575,Debodrita
1576,Debarghaya
1577,Padmaj
1578,Vairamuthu
1579,Gourishankar
1580,Anirudha
1581,Fahad
1582,Devavrata
1583,Jony
1584,Saraj
1585,Meghan
1586,Varoun
1587,Hrudaya
1588,Viksar
1589,Sivom
1590,Dayaram
1591,Aashish
1592,Amitava
1593,Rajun
1594,Aradhak
1595,Visvajit
1596,Adrij
1597,Rupam
1598,Alpesh
1599,Hiyaan
1600,Jahan
1601,Mitaksh
1602,Kalim
1603,Prithwi
1604,Riyad
1605,Mayank
1606,Saimon
1607,Bhubesh
1608,Aditeya
1609,Dayalu
1610,Shaon
1611,Khelan
1612,Umesh
1613,Aniv
1614,Ranbijay
1615,Krisnendu
1616,Har
1617,Rupak
1618,Sonak
1619,Sourab
1620,Ambikesh
1621,Gunanidhi
1622,Jahed
1623,Pabok
1624,Jansu
1625,Kulodip
1626,Minar
1627,Sasvata
1628,Shatesh
1629,Leekhit
1630,Nedumaan
1631,Keshab
1632,Shabin
1633,Elavarasan
1634,Bhargva
1635,Karunanidhan
1636,Asim
1637,Sarveen
1638,Sarwesh
1639,Senajit
1640,Naksha
1641,Munindra
1642,Manomoy
1643,Sriyon
1644,Biswamitra
1645,Chandranil
1646,Murugan
1647,Damian
1648,Nachiketa
1649,Venimadhav
1650,Aayaan
1651,Kanaram
1652,Apoorva
1653,Rupok
1654,Javan
1655,Haridhan
1656,Bhuvanpati
1657,Wafi
1658,Azar
1659,Rono
1660,Saurav
